ID,Segmentation
467287,A
466142,A
465257,A
464043,A
459055,A
464444,A
461744,A
465956,A
461185,A
462118,A
464975,A
461140,A
460212,A
461110,A
462572,A
463714,A
465950,A
459304,A
460371,A
461282,A
467225,A
460057,A
459515,A
461809,A
464986,A
466061,A
464335,A
459487,A
461959,A
467806,A
460885,A
466622,A
459020,A
466247,A
460150,A
467473,A
461309,A
466997,A
459233,A
466760,A
467496,A
459639,A
461278,A
464057,A
463133,A
464579,A
463239,A
466000,A
459716,A
460590,A
459746,A
459092,A
460201,A
461499,A
466561,A
459609,A
459047,A
467290,A
461950,A
462386,A
464422,A
464061,A
463229,A
460796,A
461054,A
461545,A
463623,A
459172,A
464095,A
466321,A
460087,A
461261,A
466992,A
462601,A
463352,A
464270,A
463795,A
462313,A
467781,A
461299,A
460133,A
459768,A
463089,A
467486,A
461107,A
464881,A
466778,A
464131,A
464592,A
460389,A
459355,A
461079,A
463462,A
464204,A
459400,A
467579,A
467201,A
467629,A
462887,A
462306,A
467937,A
459637,A
465272,A
465487,A
462389,A
460829,A
463334,A
460555,A
466875,A
460165,A
463224,A
460215,A
466911,A
465258,A
462970,A
465623,A
459299,A
465073,A
461732,A
460300,A
460621,A
464474,A
462260,A
461451,A
463326,A
465038,A
465712,A
463378,A
460677,A
460777,A
467456,A
463219,A
461289,A
464200,A
460067,A
465148,A
459175,A
464938,A
463163,A
461672,A
465460,A
467534,A
463868,A
467924,A
467083,A
464149,A
460196,A
462060,A
467175,A
466661,A
465842,A
467783,A
462617,A
461583,A
465937,A
460529,A
465014,A
459940,A
462375,A
464073,A
460266,A
460683,A
463493,A
461322,A
464965,A
467911,A
466713,A
466522,A
459489,A
464670,A
461603,A
460033,A
465002,A
466430,A
462993,A
466863,A
462913,A
462241,A
467836,A
466230,A
461407,A
463343,A
460896,A
466652,A
460929,A
461985,A
465722,A
464280,A
464812,A
461403,A
467927,A
464022,A
459061,A
466381,A
466685,A
462719,A
466717,A
459759,A
466798,A
459106,A
467519,A
462181,A
460080,A
460827,A
459539,A
460524,A
463789,A
464915,A
460531,A
465226,A
465129,A
462125,A
463429,A
467524,A
460398,A
466577,A
461834,A
466351,A
463311,A
465552,A
459256,A
466307,A
460442,A
461855,A
462529,A
461339,A
462992,A
459168,A
464770,A
462637,A
465100,A
464008,A
463614,A
465424,A
467967,A
466098,A
459579,A
467157,A
462532,A
461118,A
462820,A
463041,A
461898,A
461327,A
461356,A
466289,A
461477,A
460059,A
466144,A
466365,A
462678,A
465026,A
462630,A
463758,A
462818,A
467052,A
462987,A
460576,A
460426,A
459835,A
462253,A
466513,A
464349,A
463453,A
466242,A
466941,A
462303,A
462978,A
462654,A
466417,A
464772,A
461084,A
464498,A
466612,A
466639,A
464857,A
464244,A
461060,A
462947,A
464423,A
461591,A
462989,A
465719,A
460561,A
466516,A
460720,A
464352,A
459149,A
463356,A
465494,A
459461,A
461646,A
465756,A
465193,A
460209,A
465019,A
464513,A
459004,A
467845,A
465900,A
459952,A
467415,A
460593,A
460763,A
464639,A
462365,A
459402,A
464356,A
460682,A
465864,A
460551,A
461790,A
464111,A
463845,A
467078,A
466314,A
459288,A
465958,A
460728,A
466024,A
459394,A
459126,A
459316,A
465417,A
459719,A
465328,A
465356,A
466176,A
459590,A
463061,A
463557,A
467969,A
466851,A
464123,A
462997,A
462696,A
463005,A
465427,A
464894,A
463706,A
464467,A
461608,A
465113,A
466807,A
465121,A
461820,A
463184,A
462309,A
464795,A
461759,A
459231,A
462020,A
460098,A
461150,A
461092,A
467735,A
462827,A
463728,A
467963,A
464475,A
461765,A
464944,A
462093,A
459502,A
461872,A
461069,A
459352,A
467229,A
467494,A
460050,A
464997,A
462735,A
459973,A
463344,A
463458,A
464337,A
466273,A
462900,A
461529,A
464171,A
466657,A
467197,A
462528,A
463665,A
466258,A
460276,A
467033,A
466222,A
464155,A
462732,A
467657,A
463584,A
464737,A
465168,A
463936,A
461839,A
462949,A
465531,A
460139,A
466218,A
463456,A
466329,A
460960,A
465747,A
460914,A
462067,A
467215,A
461277,A
463110,A
467385,A
462505,A
465732,A
466721,A
460810,A
464315,A
464681,A
462187,A
460935,A
464615,A
462571,A
463990,A
466554,A
459454,A
467283,A
464341,A
463115,A
461595,A
465125,A
460946,A
461350,A
460479,A
463024,A
462215,A
466878,A
463327,A
464588,A
467007,A
466722,A
466444,A
459634,A
466069,A
465275,A
461265,A
467728,A
465263,A
460305,A
467388,A
462616,A
466539,A
460667,A
461623,A
463663,A
459752,A
459898,A
462126,A
460039,A
461212,A
461548,A
465694,A
467153,A
462240,A
459770,A
462113,A
466481,A
465017,A
463717,A
464199,A
466873,A
459888,A
463107,A
464634,A
466424,A
467772,A
467727,A
466655,A
465130,A
467010,A
461311,A
461024,A
465360,A
460978,A
460180,A
465326,A
462175,A
467583,A
460639,A
462869,A
464479,A
459792,A
466935,A
466782,A
466512,A
460548,A
466868,A
465239,A
466627,A
459562,A
467069,A
463658,A
461074,A
464957,A
466990,A
461770,A
459737,A
461679,A
460580,A
462768,A
467282,A
460579,A
462035,A
461938,A
460017,A
465799,A
466085,A
459524,A
467189,A
461983,A
464442,A
459859,A
459212,A
463800,A
460558,A
465357,A
463161,A
461524,A
466567,A
459016,A
460950,A
462638,A
466041,A
462785,A
464365,A
459787,A
460434,A
466705,A
462399,A
463494,A
460952,A
465824,A
460388,A
464173,A
461842,A
464583,A
460724,A
464702,A
465564,A
460491,A
465836,A
463345,A
467109,A
465219,A
460749,A
466615,A
462030,A
467266,A
467350,A
464872,A
465703,A
