iter	MultiClass
0	1.335104801
1	1.296327527
2	1.262242471
3	1.237035929
4	1.214149084
5	1.194792602
6	1.177659707
7	1.162847127
8	1.149750156
9	1.138450782
10	1.129104907
11	1.120742557
12	1.112647718
13	1.105528172
14	1.098892989
15	1.092576895
16	1.086401046
17	1.081104273
18	1.075803714
19	1.071465536
20	1.06823045
21	1.064889008
22	1.061458346
23	1.058345915
24	1.054961986
25	1.05316497
26	1.049987983
27	1.047227094
28	1.044945782
29	1.042975139
30	1.041010457
31	1.037659394
32	1.035035959
33	1.032282343
34	1.030106761
35	1.028097941
36	1.026782605
37	1.024917639
38	1.022008503
39	1.020328397
40	1.018849871
41	1.01728355
42	1.015190233
43	1.013551306
44	1.012328063
45	1.011116265
46	1.009504286
47	1.008333569
48	1.006009641
49	1.004581269
50	1.003667709
51	1.001731836
52	1.000370932
53	0.9986782558
54	0.9971573122
55	0.9960424197
56	0.9947947944
57	0.9930240676
58	0.9914839228
59	0.9898911376
60	0.9887442483
61	0.9873482926
62	0.9854998894
63	0.9839705282
64	0.9824746559
65	0.9809244323
66	0.9796459839
67	0.9781309366
68	0.9766002531
69	0.9752575452
70	0.9734197731
71	0.9715260047
72	0.9699568141
73	0.9686626315
74	0.9676671697
75	0.9668281683
76	0.9659111031
77	0.9633314653
78	0.9618021828
79	0.9601976122
80	0.9585943745
81	0.9574953772
82	0.9557961087
83	0.9545426167
84	0.9524259955
85	0.951314755
86	0.9495261008
87	0.9485183566
88	0.9472360513
89	0.9466069387
90	0.9453360572
91	0.9442338179
92	0.9428911256
93	0.9419374753
94	0.9393336972
95	0.9380839287
96	0.9366193541
97	0.9356754367
98	0.9343499938
99	0.9329650238
