iter	Passed	Remaining
0	9	957
1	18	884
2	26	867
3	35	854
4	44	852
5	53	836
6	62	833
7	71	819
8	80	810
9	88	798
10	97	788
11	106	777
12	114	769
13	123	760
14	132	752
15	141	745
16	152	745
17	161	737
18	171	729
19	180	720
20	188	708
21	197	700
22	206	691
23	215	682
24	224	673
25	233	664
26	242	654
27	250	643
28	258	632
29	266	621
30	274	611
31	282	600
32	291	591
33	299	581
34	308	572
35	316	561
36	324	552
37	333	543
38	341	534
39	349	524
40	357	514
41	365	504
42	373	495
43	381	485
44	389	476
45	397	467
46	406	458
47	415	450
48	423	441
49	432	432
50	440	423
51	448	414
52	456	404
53	464	395
54	473	387
55	481	378
56	489	369
57	497	359
58	505	350
59	514	342
60	522	334
61	531	325
62	539	316
63	547	308
64	556	299
65	564	290
66	572	281
67	580	273
68	589	264
69	597	255
70	605	247
71	613	238
72	620	229
73	629	221
74	637	212
75	644	203
76	653	195
77	661	186
78	669	177
79	677	169
80	685	160
81	694	152
82	702	143
83	710	135
84	718	126
85	726	118
86	734	109
87	743	101
88	751	92
89	759	84
90	768	75
91	776	67
92	784	59
93	794	50
94	802	42
95	811	33
96	819	25
97	828	16
98	836	8
99	845	0
